segment_id,direction_1,year,month,v,TTI
901268873,FALSE,2018,12,57.77,1.3
901268873,FALSE,2019,1,51.9,1.45
901268873,FALSE,2019,2,58.86,1.27
901268873,FALSE,2019,3,61.67,1.22
901268873,FALSE,2019,4,63.01,1.19
901268873,FALSE,2019,5,60.96,1.23
901268873,FALSE,2019,6,63.07,1.19
901268873,FALSE,2019,7,56.26,1.33
901268873,FALSE,2019,8,63,1.19
901268873,FALSE,2019,9,60.37,1.24
901268873,FALSE,2019,10,61.43,1.22
901268874,FALSE,2017,10,65.35,1.15
901268874,FALSE,2017,11,61.08,1.23
901268874,FALSE,2017,12,58.62,1.28
901268874,FALSE,2018,1,60.06,1.25
901268874,FALSE,2018,2,62.19,1.21
901268874,FALSE,2018,3,64.8,1.16
901268874,FALSE,2018,4,62.79,1.19
901268874,FALSE,2018,5,63.77,1.18
901268874,FALSE,2018,6,62.94,1.19
901268874,FALSE,2018,7,54.05,1.39
901268874,FALSE,2018,8,63.56,1.18
901268874,FALSE,2018,9,63.96,1.17
901268874,FALSE,2018,10,68.51,1.09
901268874,FALSE,2018,11,62.39,1.2
901268874,FALSE,2018,12,60.02,1.25
901268874,FALSE,2019,1,54.66,1.37
901268874,FALSE,2019,2,60.61,1.24
901268874,FALSE,2019,3,63.25,1.19
901268874,FALSE,2019,4,64.3,1.17
901268874,FALSE,2019,5,62.72,1.2
901268874,FALSE,2019,6,63.85,1.17
901268874,FALSE,2019,7,58.58,1.28
901268874,FALSE,2019,8,64.54,1.16
901268874,FALSE,2019,9,62.57,1.2
901268874,FALSE,2019,10,63.04,1.19
901268875,FALSE,2017,10,67.6,1.12
901268875,FALSE,2017,11,63.87,1.19
901268875,FALSE,2017,12,61.96,1.23
901268875,FALSE,2018,1,62.79,1.21
901268875,FALSE,2018,2,65.2,1.17
901268875,FALSE,2018,3,67.87,1.12
901268875,FALSE,2018,4,65.76,1.16
901268875,FALSE,2018,5,66.51,1.14
901268875,FALSE,2018,6,65.46,1.16
901268875,FALSE,2018,7,57.85,1.31
901268875,FALSE,2018,8,65.3,1.16
901268875,FALSE,2018,9,66.77,1.14
901268875,FALSE,2018,10,70.88,1.07
901268875,FALSE,2018,11,65.48,1.16
901268875,FALSE,2018,12,62.89,1.21
901268875,FALSE,2019,1,57.64,1.32
901268875,FALSE,2019,2,63.53,1.2
901268875,FALSE,2019,3,65.69,1.16
901268875,FALSE,2019,4,67.36,1.13
901268875,FALSE,2019,5,65.43,1.16
901268875,FALSE,2019,6,66.87,1.14
901268875,FALSE,2019,7,61.77,1.23
901268875,FALSE,2019,8,66.79,1.14
901268875,FALSE,2019,9,65.73,1.16
901268875,FALSE,2019,10,65.8,1.16
901268876,FALSE,2017,10,71.26,1.11
901268876,FALSE,2017,11,68.24,1.16
901268876,FALSE,2017,12,66.28,1.19
901268876,FALSE,2018,1,66.29,1.19
901268876,FALSE,2018,2,68.06,1.16
901268876,FALSE,2018,3,71.98,1.1
901268876,FALSE,2018,4,69.13,1.14
901268876,FALSE,2018,5,70.21,1.13
901268876,FALSE,2018,6,69.39,1.14
901268876,FALSE,2018,7,62.88,1.26
901268876,FALSE,2018,8,69.47,1.14
901268876,FALSE,2018,9,70.86,1.11
901268876,FALSE,2018,10,73.27,1.08
901268876,FALSE,2018,11,69.67,1.13
901268876,FALSE,2018,12,67.2,1.18
901268876,FALSE,2019,1,61.43,1.29
901268876,FALSE,2019,2,66.79,1.18
901268876,FALSE,2019,3,69.22,1.14
901268876,FALSE,2019,4,71.09,1.11
901268876,FALSE,2019,5,69.03,1.14
901268876,FALSE,2019,6,70.13,1.13
901268876,FALSE,2019,7,66.03,1.2
901268876,FALSE,2019,8,70.34,1.12
901268876,FALSE,2019,9,69.49,1.14
901268876,FALSE,2019,10,68.85,1.15
901268877,FALSE,2017,10,71.33,1.11
901268877,FALSE,2017,11,68.69,1.15
901268877,FALSE,2017,12,66.74,1.18
901268877,FALSE,2018,1,67.34,1.17
901268877,FALSE,2018,2,69.82,1.13
901268877,FALSE,2018,3,72.44,1.09
901268877,FALSE,2018,4,69.85,1.13
901268877,FALSE,2018,5,70.63,1.12
901268877,FALSE,2018,6,69.74,1.13
901268877,FALSE,2018,7,65.29,1.21
901268877,FALSE,2018,8,70.46,1.12
901268877,FALSE,2018,9,71.19,1.11
901268877,FALSE,2018,10,72.59,1.09
901268877,FALSE,2018,11,66.34,1.19
901268877,FALSE,2018,12,67.57,1.17
901268877,FALSE,2019,1,61.21,1.29
901268877,FALSE,2019,2,66.92,1.18
901268877,FALSE,2019,3,69.45,1.14
901268877,FALSE,2019,4,70.89,1.11
901268877,FALSE,2019,5,69.39,1.14
901268877,FALSE,2019,6,69.68,1.13
901268877,FALSE,2019,7,67.81,1.16
901268877,FALSE,2019,8,70.24,1.12
901268877,FALSE,2019,9,69.58,1.14
901268877,FALSE,2019,10,68.97,1.15
901268878,FALSE,2017,10,71.52,1.1
901268878,FALSE,2017,11,68.7,1.15
901268878,FALSE,2017,12,66.65,1.19
901268878,FALSE,2018,1,67.4,1.17
901268878,FALSE,2018,2,69.46,1.14
901268878,FALSE,2018,3,72.32,1.09
901268878,FALSE,2018,4,69.64,1.13
901268878,FALSE,2018,5,70.47,1.12
901268878,FALSE,2018,6,69.7,1.13
901268878,FALSE,2018,7,65.62,1.2
901268878,FALSE,2018,8,70.47,1.12
901268878,FALSE,2018,9,70.97,1.11
901268878,FALSE,2018,10,72.44,1.09
901268878,FALSE,2018,11,68.35,1.16
901268878,FALSE,2018,12,67.28,1.17
901268878,FALSE,2019,1,61.13,1.29
901268878,FALSE,2019,2,67.03,1.18
901268878,FALSE,2019,3,69.75,1.13
901268878,FALSE,2019,4,70.83,1.12
901268878,FALSE,2019,5,69.47,1.14
901268878,FALSE,2019,6,69.68,1.13
901268878,FALSE,2019,7,68.12,1.16
901268878,FALSE,2019,8,70.01,1.13
901268878,FALSE,2019,9,69.53,1.14
901268878,FALSE,2019,10,69.19,1.14
901268879,FALSE,2017,10,71.25,1.11
901268879,FALSE,2017,11,68.46,1.15
901268879,FALSE,2017,12,66.46,1.19
901268879,FALSE,2018,1,67.04,1.18
901268879,FALSE,2018,2,69.56,1.14
901268879,FALSE,2018,3,71.94,1.1
901268879,FALSE,2018,4,69.56,1.14
901268879,FALSE,2018,5,70.4,1.12
901268879,FALSE,2018,6,69.38,1.14
901268879,FALSE,2018,7,65.32,1.21
901268879,FALSE,2018,8,70.04,1.13
901268879,FALSE,2018,9,70.51,1.12
901268879,FALSE,2018,10,71.88,1.1
901268879,FALSE,2018,11,69.64,1.13
901268879,FALSE,2018,12,67.09,1.18
901268879,FALSE,2019,1,60.78,1.3
901268879,FALSE,2019,2,67.26,1.17
901268879,FALSE,2019,3,69.64,1.13
901268879,FALSE,2019,4,70.32,1.12
901268879,FALSE,2019,5,69.14,1.14
901268879,FALSE,2019,6,69.43,1.14
901268879,FALSE,2019,7,68.17,1.16
901268879,FALSE,2019,8,69.36,1.14
901268879,FALSE,2019,9,69.4,1.14
901268879,FALSE,2019,10,69.07,1.14
901268880,FALSE,2017,10,69.89,1.12
901268880,FALSE,2017,11,66.64,1.17
901268880,FALSE,2017,12,64.84,1.2
901268880,FALSE,2018,1,65.44,1.19
901268880,FALSE,2018,2,67.94,1.15
901268880,FALSE,2018,3,69.99,1.11
